population,gdp,coal_consumption,oil_consumption,gas_consumption,fossil_fuel_consumption,solar_consumption,wind_consumption,hydro_consumption,renewables_consumption,electricity_generation,hydro_share_energy
,,,,,,,,,,368.65,
,,,,,,,,,,397.19,
,,,,,,,,,,422.82,
,,,,,,,,,,447.15,
,,,,,,,,,,484.94,
,,,,,,,,,,510.68,
,,,,,,,,,,534.67,
,,,,,,,,,,564.01,
,,,,,,,,,,590.18,
,,,,,,,,,,611.17,
,,,,,,,,,,672.26,
,,,,,,,,,,707.33,
,,,,,,,,,,761.3,
,,,,,,,,,,805.44,
,,,,,,,,,,849.73,
,,,,,,,,,,888.28,
,,,,,,,,,,959.65,
,,,,,,,,,,1005.47,
,,,,,,,,,,1064.06,
,,,,,,,,,,1117.11,
,,,,,,,,,,1104.82,
,,,,,,,,,,1154.08,
,,,,,,,,,,1225.2,
951788.0,,,,,,,,,,,
956775.0,,,,,,,,,,,
961788.0,,,,,,,,,,,
966828.0,,,,,,,,,,,
971893.0,,,,,,,,,,,
976986.0,,,,,,,,,,,
982104.0,,,,,,,,,,,
988255.0,1442051968.0,,,,,,,,,,
995454.0,,,,,,,,,,,
1003716.0,,,,,,,,,,,
1013057.0,,,,,,,,,,,
1023495.0,,,,,,,,,,,
1034040.0,,,,,,,,,,,
1044694.0,,,,,,,,,,,
1055458.0,,,,,,,,,,,
1066333.0,,,,,,,,,,,
1077319.0,,,,,,,,,,,
1088816.0,,,,,,,,,,,
1100833.0,,,,,,,,,,,
1113381.0,,,,,,,,,,,
1126469.0,,,,,,,,,,,
1140109.0,,,,,,,,,,,
1153914.0,,,,,,,,,,,
1167887.0,,,,,,,,,,,
1182028.0,,,,,,,,,,,
1196341.0,,,,,,,,,,,
1210827.0,,,,,,,,,,,
1229519.0,,,,,,,,,,,
1252587.0,1958540928.0,,,,,,,,,,
1289175.0,2089362304.0,,,,,,,,,,
1326957.0,2138255872.0,,,,,,,,,,
1366747.0,2282159616.0,,,,,,,,,,
1409011.0,2415072768.0,,,,,,,,,,
1453732.0,2620052736.0,,,,,,,,,,
1500625.0,2728373248.0,,,,,,,,,,
1549575.0,2986969600.0,,,,,,,,,,
1600986.0,3216275456.0,,,,,,,,,,
1655022.0,3458495232.0,,,,,,,,,,
1711189.0,3754262784.0,,,,,,,,,,
1769076.0,3909912832.0,,,,,,,,,,
1828234.0,4163081984.0,,,,,,,,,,
1888302.0,4433270272.0,,,,,,,,,,
1949020.0,4719963648.0,,,,,,,,,,
2009793.0,5029350912.0,,,,,,,,,,
2070694.0,5354307584.0,,,,,,,,,,
2132447.0,5706156544.0,,,,,,,,,,
2195474.0,6073281536.0,,,,,,,,,,
2259797.0,6468810240.0,,,,,,,,,,
2324733.0,6888218624.0,,,,,,,,,,
2389820.0,7337364480.0,,,,,,,,,,
2455181.0,7811524608.0,,,,,,,,,,
2520442.0,8317288448.0,,,,,,,,,,
2585457.0,8539399680.0,,,,,,,,,,
2650128.0,8761643008.0,,,,,,,,,,
2713564.0,8996929536.0,,,,,,,,,,
2774798.0,9235805184.0,,,,,,,,,,
2833317.0,9474237440.0,,,,,,,,,,
2888764.0,9727295488.0,,,,,,,,,,
2941650.0,9993752576.0,,,,,,,,,,
2992391.0,10248711168.0,,,,,,,,,,
3041188.0,10517106688.0,,,,,,,,,,
3087904.0,10795983872.0,,,,,,,,,,
3131731.0,11080088576.0,,,,,,,,,,
3171727.0,11371456512.0,,,,,,,,,,
3207129.0,11669744640.0,,,,,,,,,,
3237677.0,11975300096.0,,,,,,,,,,
3263019.0,12296424448.0,,,,,,,,,,
3282187.0,12617018368.0,,,,,,,,,,
3295073.0,12947849216.0,,,,,,,,,3.3,
3302087.0,9375844352.0,,,,,,,,,3.82,
3303738.0,8745680896.0,,,,,,,,,3.4,
3300715.0,9636359168.0,,,,,,,,,3.53,
3294001.0,10596127744.0,,,,,,,,,3.94,
3284370.0,11600734208.0,,,,,,,,,4.47,
3271336.0,12727380992.0,,,,,,,,,5.99,
3253721.0,11396507648.0,,,,,,,,,5.23,
3232185.0,12466707456.0,,,,,,,,,5.11,
3208265.0,14151858176.0,,,,,,,,,5.42,
